"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 13:00:13 UTC 2026","Wed Aug 05 13:00:13 UTC 2026","213","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomAmountAndCategory","randomAmountAndCategory","POST /api/expense — расход с суммой и категорией (случайные валидные значения) возвращает 201 и запись с типом EXPENSE, названием и цветом категории"
"passed","Wed Aug 05 13:00:12 UTC 2026","Wed Aug 05 13:00:13 UTC 2026","234","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomAmount","randomAmount","POST /api/income — доход только с суммой (случайное валидное значение) возвращает 201 и запись с типом INCOME без категории и описания"
"passed","Wed Aug 05 13:00:14 UTC 2026","Wed Aug 05 13:00:14 UTC 2026","216","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","staticAmount","staticAmount","POST /api/income — доход только с суммой (статичное значение) возвращает 201 и запись с типом INCOME без категории и описания"
"passed","Wed Aug 05 12:59:23 UTC 2026","Wed Aug 05 12:59:25 UTC 2026","2111","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectRandomAmountOverOneMillion","shouldRejectRandomAmountOverOneMillion","Отклонение случайной суммы превышающей 1 000 000"
"passed","Wed Aug 05 12:59:27 UTC 2026","Wed Aug 05 12:59:30 UTC 2026","2239","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectZeroAmount","shouldRejectZeroAmount","Отклонение нулевого значения в поле суммы"
"passed","Wed Aug 05 13:00:09 UTC 2026","Wed Aug 05 13:00:09 UTC 2026","221","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithInvalidDescriptionShouldReturn400","postIncomeWithInvalidDescriptionShouldReturn400","POST /api/income с описанием, содержащим недопустимые символы (Test@#), возвращает 400 с сообщением о недопустимых символах"
"passed","Wed Aug 05 12:59:30 UTC 2026","Wed Aug 05 12:59:32 UTC 2026","2557","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","enComment","enComment","Добавление дохода со случайной суммой и случайным комментарием на английском"
"passed","Wed Aug 05 12:58:49 UTC 2026","Wed Aug 05 12:58:51 UTC 2026","2004","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectMoreThanRandomTwoDecimalPlaces","shouldRejectMoreThanRandomTwoDecimalPlaces","Отклонение случайной суммы с более чем двумя знаками после запятой"
"passed","Wed Aug 05 13:00:11 UTC 2026","Wed Aug 05 13:00:11 UTC 2026","237","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithRandomTooLongDescriptionShouldReturn400","postIncomeWithRandomTooLongDescriptionShouldReturn400","POST /api/income со случайным описанием длиннее 500 символов возвращает 400 с сообщением о превышении максимальной длины"
"passed","Wed Aug 05 12:59:37 UTC 2026","Wed Aug 05 12:59:39 UTC 2026","2310","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","ruComment","ruComment","Добавление дохода со случайной суммой и случайным комментарием на русском"
"passed","Wed Aug 05 13:00:07 UTC 2026","Wed Aug 05 13:00:07 UTC 2026","234","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","getTransactionByIdShouldReturn405","getTransactionByIdShouldReturn405","GET на /api/transactions/{id} возвращает 405 Method Not Allowed с корректным телом ошибки"
"passed","Wed Aug 05 12:59:04 UTC 2026","Wed Aug 05 12:59:05 UTC 2026","1839","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectEnterWithoutCategory","shouldRejectEnterWithoutCategory","Отклонение отправки формы расхода без выбора категории"
"passed","Wed Aug 05 13:00:13 UTC 2026","Wed Aug 05 13:00:13 UTC 2026","217","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomAmountRuDescription","randomAmountRuDescription","POST /api/income — доход с суммой и описанием на русском (случайные данные) возвращает 201 и запись с типом INCOME и переданным описанием"
"passed","Wed Aug 05 12:59:06 UTC 2026","Wed Aug 05 12:59:08 UTC 2026","2562","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectIDescriptionTooLong","shouldRejectIDescriptionTooLong","Отклонение комментария длиной более 500 символов"
"passed","Wed Aug 05 12:59:14 UTC 2026","Wed Aug 05 12:59:16 UTC 2026","2224","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectMoreThanRandomTwoDecimalPlaces","shouldRejectMoreThanRandomTwoDecimalPlaces","Отклонение случайной суммы с более чем двумя знаками после запятой"
"passed","Wed Aug 05 12:59:44 UTC 2026","Wed Aug 05 12:59:46 UTC 2026","2277","MyMoney Auto Tests","UI Positive Tests","ui.tests.MainPageTest","ui.tests.MainPageTest","shouldDeleteTransactionSuccessfully","shouldDeleteTransactionSuccessfully","Удаление элемента из списка транзакций с проверкой алёрта и корректных изменений"
"passed","Wed Aug 05 13:00:06 UTC 2026","Wed Aug 05 13:00:07 UTC 2026","287","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","enCommentExpense","enCommentExpense","POST /api/expense — расход с суммой, категорией и описанием на английском (случайные данные) возвращает 201 и запись с типом EXPENSE, названием, цветом категории и переданным описанием"
"passed","Wed Aug 05 13:00:04 UTC 2026","Wed Aug 05 13:00:06 UTC 2026","1720","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","categoriesShouldReturnExpectedJson","categoriesShouldReturnExpectedJson","GET /api/categories возвращает все 10 категорий с ожидаемыми значениями value, name и color"
"passed","Wed Aug 05 12:58:38 UTC 2026","Wed Aug 05 12:58:40 UTC 2026","1936","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectEmptyAmount","shouldRejectEmptyAmount","Отклонение пустого значения в поле суммы"
"passed","Wed Aug 05 13:00:14 UTC 2026","Wed Aug 05 13:00:15 UTC 2026","239","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","staticData","staticData","POST /api/income — доход с суммой и описанием (статичные данные) возвращает 201 и запись с типом INCOME и переданным описанием"
"passed","Wed Aug 05 12:58:51 UTC 2026","Wed Aug 05 12:58:53 UTC 2026","2036","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectMoreThanTwoDecimalPlaces","shouldRejectMoreThanTwoDecimalPlaces","Отклонение суммы с более чем двумя знаками после запятой"
"passed","Wed Aug 05 12:59:49 UTC 2026","Wed Aug 05 12:59:52 UTC 2026","2584","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","randomAmountAndCategory","randomAmountAndCategory","Добавление расхода со случайной суммой и случайной категорией без комментария"
"passed","Wed Aug 05 13:00:09 UTC 2026","Wed Aug 05 13:00:09 UTC 2026","224","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postExpenseWithoutCategoryShouldReturn400","postExpenseWithoutCategoryShouldReturn400","POST /api/expense без категории возвращает 400 с сообщением об обязательности поля category"
"passed","Wed Aug 05 13:00:14 UTC 2026","Wed Aug 05 13:00:14 UTC 2026","218","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","staticAmountAndCategory","staticAmountAndCategory","POST /api/expense — расход с суммой и категорией (статичные данные) возвращает 201 и запись с типом EXPENSE, названием и цветом категории"
"passed","Wed Aug 05 12:59:01 UTC 2026","Wed Aug 05 12:59:04 UTC 2026","2178","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectAmountOverOneMillion","shouldRejectAmountOverOneMillion","Отклонение суммы превышающей 1 000 000"
"passed","Wed Aug 05 13:00:11 UTC 2026","Wed Aug 05 13:00:12 UTC 2026","219","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postToBalanceShouldReturn405","postToBalanceShouldReturn405","POST на /api/balance возвращает 405 Method Not Allowed с корректным телом ошибки"
"passed","Wed Aug 05 12:58:59 UTC 2026","Wed Aug 05 12:59:01 UTC 2026","2255","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectRandomInvalidCharacters","shouldRejectRandomInvalidCharacters","Отклонение комментария со случайными недопустимыми спецсимволами"
"passed","Wed Aug 05 12:59:25 UTC 2026","Wed Aug 05 12:59:27 UTC 2026","2181","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectRandomInvalidCharacters","shouldRejectRandomInvalidCharacters","Отклонение комментария со случайными недопустимыми спецсимволами"
"passed","Wed Aug 05 13:00:13 UTC 2026","Wed Aug 05 13:00:13 UTC 2026","223","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomAmountEnDescription","randomAmountEnDescription","POST /api/income — доход с суммой и описанием на английском (случайные данные) возвращает 201 и запись с типом INCOME и переданным описанием"
"passed","Wed Aug 05 13:00:07 UTC 2026","Wed Aug 05 13:00:07 UTC 2026","193","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","homePageShouldReturnHtml","homePageShouldReturnHtml","GET / возвращает 200 и валидный HTML с корневым элементом и подключёнными ресурсами"
"passed","Wed Aug 05 13:00:11 UTC 2026","Wed Aug 05 13:00:11 UTC 2026","225","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithoutBodyShouldReturn400","postIncomeWithoutBodyShouldReturn400","POST /api/income без тела возвращает 400 с сообщением о невалидном JSON"
"passed","Wed Aug 05 13:00:08 UTC 2026","Wed Aug 05 13:00:09 UTC 2026","230","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postExpenseWithoutBodyShouldReturn400","postExpenseWithoutBodyShouldReturn400","POST /api/expense без тела возвращает 400 с сообщением о невалидном JSON"
"passed","Wed Aug 05 13:00:10 UTC 2026","Wed Aug 05 13:00:10 UTC 2026","221","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithNegativeAmountShouldReturn400","postIncomeWithNegativeAmountShouldReturn400","POST /api/income с отрицательной суммой (-50) возвращает 400 с сообщением о минимально допустимом значении"
"passed","Wed Aug 05 12:59:42 UTC 2026","Wed Aug 05 12:59:44 UTC 2026","2169","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","staticData","staticData","Добавление дохода со статичной суммой и статичным комментарием"
"passed","Wed Aug 05 13:00:13 UTC 2026","Wed Aug 05 13:00:13 UTC 2026","226","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomSmallAmount","randomSmallAmount","POST /api/income — доход только с суммой (случайное малое значение) возвращает 201 и запись с типом INCOME без категории и описания"
"passed","Wed Aug 05 12:58:34 UTC 2026","Wed Aug 05 12:58:38 UTC 2026","4326","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectAmountOverOneMillion","shouldRejectAmountOverOneMillion","Отклонение суммы превышающей 1 000 000"
"passed","Wed Aug 05 12:59:35 UTC 2026","Wed Aug 05 12:59:37 UTC 2026","2218","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","randomSmallAmount","randomSmallAmount","Добавление дохода со случайной малой суммой без комментария"
"passed","Wed Aug 05 13:00:07 UTC 2026","Wed Aug 05 13:00:07 UTC 2026","215","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postExpenseWithInvalidCategoryShouldReturn400","postExpenseWithInvalidCategoryShouldReturn400","POST /api/expense с несуществующей категорией возвращает 400 с сообщением о недопустимом значении категории"
"passed","Wed Aug 05 12:58:55 UTC 2026","Wed Aug 05 12:58:57 UTC 2026","1925","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectNegativeRandomAmount","shouldRejectNegativeRandomAmount","Отклонение случайного отрицательного значения в поле суммы"
"passed","Wed Aug 05 12:59:16 UTC 2026","Wed Aug 05 12:59:19 UTC 2026","2694","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectMoreThanTwoDecimalPlaces","shouldRejectMoreThanTwoDecimalPlaces","Отклонение суммы с более чем двумя знаками после запятой"
"passed","Wed Aug 05 12:58:53 UTC 2026","Wed Aug 05 12:58:55 UTC 2026","2008","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectNegativeAmount","shouldRejectNegativeAmount","Отклонение отрицательного значения в поле суммы"
"passed","Wed Aug 05 13:00:14 UTC 2026","Wed Aug 05 13:00:14 UTC 2026","233","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","ruCommentExpense","ruCommentExpense","POST /api/expense — расход с суммой, категорией и описанием на русском (случайные данные) возвращает 201 и запись с типом EXPENSE, названием, цветом категории и переданным описанием"
"passed","Wed Aug 05 13:00:13 UTC 2026","Wed Aug 05 13:00:14 UTC 2026","226","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","randomSmallAmountAndCategory","randomSmallAmountAndCategory","POST /api/expense — расход с суммой (случайное малое значение) и случайной категорией возвращает 201 и запись с типом EXPENSE, названием и цветом категории"
"passed","Wed Aug 05 12:59:21 UTC 2026","Wed Aug 05 12:59:23 UTC 2026","2050","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectNegativeRandomAmount","shouldRejectNegativeRandomAmount","Отклонение случайного отрицательного значения в поле суммы"
"passed","Wed Aug 05 13:00:06 UTC 2026","Wed Aug 05 13:00:06 UTC 2026","217","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","deleteTransactionShouldReturn204","deleteTransactionShouldReturn204","DELETE /api/transactions/{id} возвращает 204 и пустое тело ответа (может упасть если элемент уже удалён)"
"passed","Wed Aug 05 13:00:12 UTC 2026","Wed Aug 05 13:00:12 UTC 2026","208","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postToRootShouldReturn405","postToRootShouldReturn405","POST на / возвращает 405 Method Not Allowed с корректным телом ошибки"
"passed","Wed Aug 05 13:00:09 UTC 2026","Wed Aug 05 13:00:10 UTC 2026","228","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithMoreThanTwoDecimalPlacesShouldReturn400","postIncomeWithMoreThanTwoDecimalPlacesShouldReturn400","POST /api/income с суммой 45.123 возвращает 400 с сообщением о недопустимом количестве знаков после запятой"
"passed","Wed Aug 05 12:59:58 UTC 2026","Wed Aug 05 13:00:00 UTC 2026","2549","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","staticAmountAndCategory","staticAmountAndCategory","Добавление расхода со статичной суммой и статичной категорией без комментария"
"passed","Wed Aug 05 13:00:07 UTC 2026","Wed Aug 05 13:00:08 UTC 2026","1237","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postExpenseWithZeroAmountShouldReturn400","postExpenseWithZeroAmountShouldReturn400","POST /api/expense с нулевой суммой возвращает 400 с сообщением о минимально допустимом значении"
"passed","Wed Aug 05 12:58:57 UTC 2026","Wed Aug 05 12:58:59 UTC 2026","1894","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectRandomAmountOverOneMillion","shouldRejectRandomAmountOverOneMillion","Отклонение случайной суммы превышающей 1 000 000"
"passed","Wed Aug 05 13:00:12 UTC 2026","Wed Aug 05 13:00:12 UTC 2026","214","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postToCategoriesShouldReturn405","postToCategoriesShouldReturn405","POST на /api/categories возвращает 405 Method Not Allowed с корректным телом ошибки"
"passed","Wed Aug 05 12:58:46 UTC 2026","Wed Aug 05 12:58:49 UTC 2026","2358","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectInvalidCharacters","shouldRejectInvalidCharacters","Отклонение комментария с недопустимыми спецсимволами"
"passed","Wed Aug 05 13:00:10 UTC 2026","Wed Aug 05 13:00:10 UTC 2026","211","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithRandomInvalidDescriptionShouldReturn400","postIncomeWithRandomInvalidDescriptionShouldReturn400","POST /api/income со случайным описанием с недопустимыми символами возвращает 400 с сообщением о недопустимых символах"
"passed","Wed Aug 05 12:59:46 UTC 2026","Wed Aug 05 12:59:49 UTC 2026","2934","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","enCommentExpense","enCommentExpense","Добавление расхода со случайной суммой, случайным комментарием на английском и случайной категорией"
"passed","Wed Aug 05 12:59:55 UTC 2026","Wed Aug 05 12:59:57 UTC 2026","2816","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","ruCommentExpense","ruCommentExpense","Добавление расхода со случайной суммой, случайным комментарием на русском и случайной категорией"
"passed","Wed Aug 05 12:58:40 UTC 2026","Wed Aug 05 12:58:43 UTC 2026","3195","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectIDescriptionTooLong","shouldRejectIDescriptionTooLong","Отклонение комментария длиной более 500 символов"
"passed","Wed Aug 05 13:00:06 UTC 2026","Wed Aug 05 13:00:06 UTC 2026","262","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","deleteNonExistentTransactionShouldReturn400","deleteNonExistentTransactionShouldReturn400","DELETE /api/transactions/99999 возвращает 400 с сообщением о том, что транзакция не найдена"
"passed","Wed Aug 05 12:59:11 UTC 2026","Wed Aug 05 12:59:13 UTC 2026","2269","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectInvalidCharacters","shouldRejectInvalidCharacters","Отклонение комментария с недопустимыми спецсимволами"
"passed","Wed Aug 05 12:59:52 UTC 2026","Wed Aug 05 12:59:55 UTC 2026","2585","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","randomSmallAmountAndCategory","randomSmallAmountAndCategory","Добавление расхода со случайной малой суммой и случайной категорией без комментария"
"passed","Wed Aug 05 13:00:10 UTC 2026","Wed Aug 05 13:00:11 UTC 2026","220","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithRandomNegativeAmountShouldReturn400","postIncomeWithRandomNegativeAmountShouldReturn400","POST /api/income со случайной отрицательной суммой возвращает 400 с сообщением о минимально допустимом значении"
